m_SL_0,timestamp0,m_SL_1,timestamp1
1.7437187433242798,1750165544.0,0.3797754049301147,1750165544
2.692258596420288,1750165544.0,1.7664403915405271,1750165544
-1.4416066408157349,1750165546.0,-0.1701266914606094,1750165545
1.803889870643616,1750165546.0,-0.4235667288303375,1750165545
-2.5290732383728027,1750165548.0,0.4604597687721252,1750165546
-1.7062711715698242,1750165550.0,1.413910984992981,1750165547
0.8712656497955322,1750165551.0,1.781589150428772,1750165547
0.1312067955732345,1750165554.0,0.7652300000190735,1750165547
-1.588034987449646,1750165554.0,-0.2090442329645156,1750165548
-1.3233708143234253,1750165554.0,0.2174641489982605,1750165550
-1.3906936645507812,1750165556.0,0.9993781447410583,1750165550
-0.864533007144928,1750165558.0,0.2321912199258804,1750165554
0.3394868969917297,1750165560.0,-1.7125836610794067,1750165554
2.534543991088867,1750165561.0,0.0568783394992351,1750165555
1.5480610132217407,1750165562.0,-0.6243476867675781,1750165555
1.7424570322036743,1750165562.0,-0.091232880949974,1750165556
-1.1171939373016355,1750165563.0,0.4374524354934692,1750165557
-0.7543653845787048,1750165563.0,0.867057204246521,1750165557
3.0364468097686768,1750165563.0,-1.0456641912460327,1750165557
-1.1104618310928345,1750165564.0,-0.4425741136074066,1750165558
-1.5985559225082395,1750165564.0,-0.6663506627082825,1750165559
1.5762524604797363,1750165564.0,-0.645283043384552,1750165559
1.494623780250549,1750165564.0,1.2421634197235107,1750165559
-0.8460192680358887,1750165565.0,-0.568731427192688,1750165560
3.1763532161712646,1750165568.0,-0.7555544972419739,1750165560
2.0609793663024902,1750165568.0,-2.092957735061645,1750165561
1.5333328247070312,1750165569.0,0.604918360710144,1750165561
-1.2846609354019165,1750165569.0,0.2448108345270156,1750165562
-0.8401286602020264,1750165569.0,-0.2921500504016876,1750165563
2.284828186035156,1750165573.0,-0.3521106243133545,1750165563
0.605413556098938,1750165574.0,-0.5544257164001465,1750165563
-1.0189448595046997,1750165574.0,-0.0223746672272682,1750165563
-6.4026312828063965,1750165575.0,-0.1422929018735885,1750165563
-1.976404309272766,1750165576.0,0.071814902126789,1750165563
-0.8081494569778442,1750165582.0,0.4897015392780304,1750165563
